Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
Kiran Print Pack,531413,,Printing & Stationery,2.72,70.76,1.09,12.14,0.00,0.47,-1.27,-15.61,,0.00,1.36,2.48,15.25,0.00
Kiran Syntex,530443,,Textiles - Spinning - Synthetic / Blended,3.92,40.41,0.00,0.20,0.06,0.72,-2.41,-2.56,83.50,0.00,1.67,0.01,35.99,0.00
Kiran Vyapar,537750,,Finance & Investments,136.50,74.96,148.43,6.02,0.03,0.31,9.97,8.42,3.51,1.10,372.43,15.27,224.90,4.16
Kiri Industries,532967,KIRIINDUS,Dyes And Pigments,550.70,34.98,1140.98,1.55,0.07,1.02,12.32,12.35,5.50,0.00,2202.55,10.47,877.00,0.00
Kirl. Brothers,500241,KIRLOSBROS,Pumps,389.50,65.95,2888.20,1.40,0.27,2.80,15.34,15.73,16.18,0.77,3092.98,175.39,620.65,14.79
Kirl. Electric,533193,KECL,Electric Equipment,26.75,49.51,297.92,0.34,5.34,5.30,-12.54,,,0.00,177.66,18.30,390.00,0.00
Kirl. Ferrous,500245,KIRLFER,Steel - Pig Iron,265.10,59.10,2647.87,1.32,0.29,3.67,33.40,35.09,8.00,1.89,3671.40,16.03,314.00,22.90
Kirl.Pneumatic,505283,KGKHOSLA,Compressors / Drilling Equipment,355.00,53.75,911.82,1.80,0.07,3.88,15.00,11.60,29.83,0.99,2284.71,52.36,429.95,35.23
Kirloskar Indus.,500243,KIRLOSIND,Finance & Investments,1638.90,73.11,2664.19,1.46,0.17,0.91,23.73,11.78,6.55,0.61,1597.09,66.19,1975.00,5.93
Kirloskar Oil,533293,KIRLOSENG,Engines,207.25,59.44,3694.63,1.81,0.44,1.56,13.43,10.46,12.48,1.93,2997.12,258.31,454.30,29.67
Kisan Mouldings,530145,,Plastics Products,17.95,43.73,235.54,2.20,3.00,0.80,-5.79,-47.34,,0.00,60.78,9.52,235.50,0.00
Kitex Garments,521248,KITEX,Textiles - Products,167.55,55.57,519.57,7.42,0.00,1.60,11.37,8.12,17.93,0.90,1114.21,151.40,767.14,18.39
KJMC Corporate,532304,,Finance & Investments,23.20,62.73,4.37,5.31,0.03,0.17,-2.45,-3.75,,0.00,9.11,10.97,32.00,0.00
KJMC Financial,530235,KJMCFIN,Finance & Investments,25.30,73.21,1.50,3.97,0.07,0.17,-1.77,-3.11,,0.00,12.11,0.28,68.25,0.00
KKalpana Inds.,526409,,Plastics Products,46.75,74.84,1832.96,1.77,0.30,1.20,14.67,6.72,12.81,0.43,439.79,7.95,63.00,7.89
Kkalpana Plastic,523652,,Diamond Cutting / Jewellery,25.00,72.57,0.00,81.29,0.00,2.04,2.08,1.49,106.38,0.00,13.83,0.12,60.29,0.00
KKRRAFTON Develo,521238,,Computers - Hardware,14.00,0.00,0.00,0.13,8.06,1.57,0.22,2.00,,0.00,0.78,0.00,71.60,0.00
KKV Agro Powers,,KKVAPOW,Power Generation And Supply,1065.75,69.46,319.62,1.77,0.00,2.47,3.48,2.36,105.07,0.38,48.33,3.56,1177.00,47.83
KLG Capital,530771,,Finance & Investments,7.06,60.46,0.76,0.17,0.09,0.30,0.73,0.53,56.50,0.00,2.26,0.01,563.10,0.00
KLK Electrical,517170,,Electric Equipment,21.05,6.01,1.04,9.33,0.00,3.08,-3.79,-3.79,,0.00,5.58,0.00,30.45,0.00
KM Sugar Mills,532673,KMSUGAR,Sugar,27.65,64.56,498.54,2.20,0.94,1.19,11.67,13.12,8.22,0.72,254.38,5.89,39.15,0.00
KMC Speciality,524520,,Healthcare,69.25,75.00,116.63,2.08,0.44,17.83,25.25,22.42,62.78,0.00,1129.47,17.70,91.05,0.00
KMF Builders,531578,,Construction,3.10,48.23,4.06,2.28,0.04,0.33,3.84,3.07,13.03,0.00,3.78,3.65,5.95,0.00
KMG Milk Food,519415,,Food - Processing - Indian,15.00,55.35,8.59,0.77,,,5.90,,56.86,0.00,7.96,0.95,42.10,0.00
KMS Medisurgi,540468,,Trading,34.10,74.42,7.51,4.13,0.16,1.74,3.61,1.88,93.75,0.15,11.25,0.61,42.00,16.67
Knowledge Marine,543273,,Miscellaneous,70.55,,33.28,6.74,0.63,,31.21,36.92,10.45,0.00,72.21,11.53,70.55,0.00
KNR Construct.,532942,KNRCON,Construction,297.85,51.48,3188.20,1.07,0.39,4.28,22.15,23.20,17.70,0.08,8376.57,147.84,343.90,1.73
Kobo Biotech,531541,,Chemicals,4.56,44.95,0.00,0.53,,,-6.36,,,0.00,10.86,1.56,72.00,0.00
Kokuyo Camlin,523207,KOKUYOCMLN,Printing & Stationery,68.10,74.99,401.87,3.29,0.32,2.80,-2.68,-5.98,,0.00,683.07,7.05,157.00,0.00
Kolte Patil Dev.,532924,KOLTEPATIL,Construction,318.35,74.45,748.24,1.40,0.76,2.71,4.17,-0.61,47.48,0.00,2419.60,163.91,404.80,0.00
Kome-on Commun.,539910,,Entertainment / Electronic Media Software,3.42,21.87,0.00,12.33,0.00,0.35,-1.02,-1.02,,0.00,5.13,0.08,4.75,0.00
Konndor Indust.,532397,,Trading,6.55,0.00,8.90,5.94,0.00,0.47,0.65,0.26,36.20,0.00,3.62,0.01,26.50,0.00
Kopran,524280,KOPRAN,Pharmaceuticals - Indian - Bulk Drugs & Formln,194.60,43.78,446.26,2.40,0.27,3.43,30.44,28.39,15.66,1.54,841.66,6.90,262.00,21.07
Kore Foods,500458,PHILCORP,Food - Processing - Indian,3.04,50.30,0.15,0.21,,,-24.11,,,0.00,3.54,0.02,23.00,0.00
Kotak Mah. Bank,500247,KOTAKBANK,Banks - Private Sector,1995.10,26.00,32612.36,2.62,3.85,4.66,6.49,13.11,39.79,0.05,395645.83,47716.62,2077.90,1.79
Kothari Ferment.,507474,,Food - Processing - Indian,62.70,74.91,94.07,2.68,0.65,1.56,9.87,8.30,24.37,0.00,94.05,0.71,112.90,0.00
Kothari Petroche,,KOTHARIPET,Petrochemicals,53.05,70.98,279.49,1.57,0.03,2.54,27.30,19.99,10.93,0.00,312.18,14.79,65.70,0.00
Kothari Products,530299,KOTHARIPRO,Trading,103.95,74.99,3924.79,4.96,0.92,0.28,-2.42,-8.48,,0.00,310.23,103.46,272.40,0.00
Kothari Sugars,,KOTARISUG,Sugar,33.75,73.53,382.89,1.33,0.19,1.50,9.89,8.42,24.84,0.00,279.75,0.41,50.35,0.00
Kotia Enterprise,539599,,Trading,14.13,4.79,0.60,2.09,0.22,1.07,2.16,1.74,30.06,0.00,9.92,9.08,37.00,0.00
Kovai Medical,523323,KOVAI,Healthcare,1690.55,55.76,800.06,1.79,1.22,3.63,13.20,16.49,16.61,0.18,1849.46,154.86,1899.00,4.22
Kovil. Lak. Rol.,507598,KLRF,Food - Processing - Indian,72.30,57.18,237.85,3.11,0.61,0.96,16.40,11.53,7.31,2.07,40.06,0.19,138.00,18.44
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small,339.95,40.15,2110.42,2.39,0.19,7.72,14.02,12.56,51.49,0.44,9319.52,700.80,385.30,27.62
KPT Industries,505299,,Engineering,124.40,48.22,111.81,3.67,0.89,1.36,11.39,7.09,7.33,0.40,42.30,2.64,176.70,0.00
Kranti Industrie,542459,,Engineering,36.00,74.23,71.96,1.42,1.41,1.99,3.24,-2.39,13.78,0.00,38.02,0.01,39.50,0.00
KRBL,530813,KRBL,Food - Processing - Indian,307.45,59.46,4243.77,8.10,0.10,1.96,19.92,16.39,12.61,1.14,7237.06,161.86,675.00,14.74
Krebs Biochem,524518,KREBSBIO,Pharmaceuticals - Indian - Bulk Drugs,169.55,72.74,48.89,0.57,7.24,,-40.26,,,0.00,365.56,0.71,207.15,0.00
Kreon Finnancial,530139,,Finance & Investments,21.46,45.53,2.02,4.05,3.89,11.19,-2.11,-25.26,89.96,0.00,21.59,1.33,22.80,0.00
Kretto Syscon,531328,,Construction,6.84,0.00,0.00,0.13,0.00,0.61,1.06,0.75,69.64,0.00,9.75,0.17,214.00,0.00
Kridhan Infra,533482,KRIDHANINF,Trading,5.40,47.15,32.76,0.97,0.19,0.51,0.48,-13.95,,0.00,51.18,0.59,142.40,0.00
Krishana Phosch.,,KRISHANA,Fertilizers,191.20,70.13,200.76,4.12,0.14,3.60,20.40,14.63,22.59,0.26,523.89,0.02,199.70,6.64
Krishna Capital,539384,,Finance & Investments,9.25,42.87,0.33,7.33,0.00,0.50,3.28,2.76,58.40,0.00,2.92,0.03,16.35,0.00
Krishna Fil. Ind,500248,KRISNAFILA,Textiles - Products,10.06,62.45,0.00,0.05,,,-62.75,,,0.00,7.83,0.02,60.40,0.00
Krishna Institu.,543308,KIMS,Healthcare,1149.75,38.84,1329.94,2.38,0.37,10.65,29.57,27.64,45.55,0.00,9201.19,284.44,1397.50,0.00
